company,number,symbol,ytd_return
Bristol Myers Squibb,467,BMY,-22.93
Erie Indemnity,468,ERIE,-23.24
General Mills,469,GIS,-23.46
International Flavors & Fragrances,470,IFF,-23.55
Hormel Foods,471,HRL,-23.62
Brown–Forman,472,BF.B,-23.83
Salesforce,473,CRM,-23.94
Apollo Global Management,474,APO,-24.20
Campbell Soup Company,475,CPB,-25.93
Clorox,476,CLX,-26.37
Charter Communications,477,CHTR,-26.62
Edison International,478,EIX,-27.79
UnitedHealth Group,479,UNH,-27.95
Kenvue,480,KVUE,-29.93
Chipotle Mexican Grill,481,CMG,-30.96
United Parcel Service,482,UPS,-31.08
Accenture,483,ACN,-31.16
ONEOK,484,OKE,-31.74
Molina Healthcare,485,MOH,-32.15
Target Corporation,486,TGT,-32.29
Eastman Chemical Company,487,EMN,-32.61
GoDaddy,488,GDDY,-32.89
Conagra Brands,489,CAG,-33.33
Moderna,490,MRNA,-34.49
Align Technology,491,ALGN,-35.29
Constellation Brands,492,STZ,-36.10
EPAM Systems,493,EPAM,-37.99
LyondellBasell,494,LYB,-38.58
FactSet,495,FDS,-39.53
Fiserv,496,FI,-39.57
Centene Corporation,497,CNC,-41.22
Dow Inc.,498,DOW,-46.10
CarMax,499,KMX,-47.37
Gartner,500,IT,-50.57
Deckers Brands,501,DECK,-50.67
Lululemon Athletica,502,LULU,-54.91
"The Trade Desk, Inc.",503,TTD,-55.33
